,category,dayofweek,descript,pddistrict,resolution,time,x,y,report_month,report_day
646,VEHICLE THEFT,Sunday,STOLEN AUTOMOBILE,INGLESIDE,non_processed,780,-122.429037800362,37.74516600394,7,10
647,VEHICLE THEFT,Friday,STOLEN AUTOMOBILE,RICHMOND,non_processed,450,-122.374397142153,37.819923463743,8,26
648,BURGLARY,Friday,"BURGLARY, UNLAWFUL ENTRY",NORTHERN,non_processed,1020,-122.416791245836,37.7800446077933,7,15
649,DRUG/NARCOTIC,Friday,SALE OF BASE/ROCK COCAINE,TENDERLOIN,processed,1198,-122.41288317793999,37.785353035870706,7,15
650,WARRANTS,Sunday,WARRANT ARREST,TENDERLOIN,processed,1115,-122.412569415086,37.7858955061569,8,19
651,OTHER OFFENSES,Wednesday,MISCELLANEOUS INVESTIGATION,TENDERLOIN,non_processed,920,-122.41288317793301,37.7853530358936,10,24
652,NON-CRIMINAL,Sunday,TURNED IN GUN,RICHMOND,non_processed,570,-122.464279879446,37.7800332991006,9,9
653,DISORDERLY CONDUCT,Friday,"DISTURBING THE PEACE, SWEARING",INGLESIDE,non_processed,600,-122.452289660492,37.72569335757029,9,7
654,LARCENY/THEFT,Wednesday,GRAND THEFT AUTO STRIP,INGLESIDE,non_processed,1270,-122.44892140209801,37.7294849232086,8,22
655,LARCENY/THEFT,Tuesday,GRAND THEFT PICKPOCKET,SOUTHERN,non_processed,1390,-122.39275357357401,37.7788518670227,8,21
656,LARCENY/THEFT,Saturday,PETTY THEFT OF PROPERTY,TARAVAL,non_processed,500,-122.50191885013099,37.756802907056496,7,21
657,OTHER OFFENSES,Wednesday,VIOLATION OF MUNICIPAL POLICE CODE,TARAVAL,processed,255,-122.494815616477,37.756217793795294,8,29
658,LARCENY/THEFT,Sunday,GRAND THEFT BICYCLE,SOUTHERN,non_processed,1050,-122.401378067544,37.7892639310458,7,22
659,STOLEN PROPERTY,Friday,RECEIVING STOLEN PROPERTY,CENTRAL,processed,1086,-122.40473025175899,37.7937840812301,9,28
660,VANDALISM,Tuesday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",MISSION,non_processed,14,-122.418736143416,37.766738230045796,9,4
661,VANDALISM,Monday,"MALICIOUS MISCHIEF, BREAKING WINDOWS",BAYVIEW,non_processed,120,-122.375605171962,37.730721521570295,10,8
662,SUSPICIOUS OCC,Thursday,SUSPICIOUS OCCURRENCE,INGLESIDE,non_processed,870,-122.436447441054,37.723788610894395,7,26
663,NON-CRIMINAL,Tuesday,"AIDED CASE, MENTAL DISTURBED",RICHMOND,processed,1113,-122.498385398299,37.7747122037229,10,9
664,LARCENY/THEFT,Sunday,GRAND THEFT OF PROPERTY,CENTRAL,non_processed,870,-122.40642938209801,37.807136806848796,9,9
665,BURGLARY,Tuesday,"BURGLARY, UNLAWFUL ENTRY",TENDERLOIN,non_processed,855,-122.407707096397,37.785103454566105,10,2
666,VEHICLE THEFT,Friday,STOLEN AUTOMOBILE,MISSION,non_processed,780,-122.422250532901,37.7568888925131,8,17
667,TRESPASS,Monday,TRESPASSING,MISSION,processed,407,-122.411799874704,37.7683990558004,9,10
668,BURGLARY,Monday,"BURGLARY, FORCIBLE ENTRY",NORTHERN,non_processed,90,-122.430143811017,37.7869726260489,9,17
669,ASSAULT,Friday,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,TENDERLOIN,non_processed,105,-122.409853729941,37.7833862379382,7,20
670,ROBBERY,Monday,"ROBBERY ON THE STREET, STRONGARM",MISSION,non_processed,1027,-122.41190223263,37.7526284767606,5,18
671,NON-CRIMINAL,Monday,LOST PROPERTY,CENTRAL,non_processed,660,-122.41084562422701,37.792315874764704,6,6
672,ASSAULT,Saturday,BATTERY,NORTHERN,non_processed,1172,-122.431651599382,37.773811966469495,5,14
673,ASSAULT,Monday,BATTERY,BAYVIEW,non_processed,1020,-122.379424889828,37.729499085971206,3,21
674,ASSAULT,Saturday,BATTERY,TARAVAL,non_processed,1190,-122.477976682169,37.7269346350353,3,12
675,NON-CRIMINAL,Wednesday,LOST PROPERTY,TARAVAL,non_processed,870,-122.477976682169,37.7269346350353,6,1
676,ASSAULT,Thursday,BATTERY,MISSION,non_processed,1130,-122.431639240914,37.7490267856234,5,19
677,DRUG/NARCOTIC,Sunday,POSSESSION OF MARIJUANA FOR SALES,TENDERLOIN,non_processed,950,-122.413259498719,37.7829514828801,8,5
678,ROBBERY,Saturday,"ROBBERY ON THE STREET, STRONGARM",MISSION,non_processed,1415,-122.41812008648998,37.7603012340397,7,21
679,VEHICLE THEFT,Sunday,STOLEN AUTOMOBILE,INGLESIDE,non_processed,700,-122.453409884653,37.7315296800221,9,30
680,BURGLARY,Thursday,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",TARAVAL,processed,660,-122.462560108778,37.717017488568295,10,4
681,ASSAULT,Friday,THREATS AGAINST LIFE,TARAVAL,non_processed,720,-122.461768606977,37.718170271691605,7,27
682,DRUG/NARCOTIC,Sunday,POSSESSION OF MARIJUANA FOR SALES,SOUTHERN,processed,1356,-122.41029351969,37.7822305870036,7,8
683,ASSAULT,Friday,INFLICT INJURY ON COHABITEE,INGLESIDE,processed,690,-122.40282987696301,37.7152256524439,8,24
684,MISSING PERSON,Tuesday,MISSING JUVENILE,TARAVAL,processed,600,-122.45870335033301,37.7217839385443,10,23
685,DRUG/NARCOTIC,Thursday,POSSESSION OF MARIJUANA FOR SALES,SOUTHERN,processed,796,-122.408953598279,37.783287873572,8,2
686,OTHER OFFENSES,Monday,RESISTING ARREST,NORTHERN,processed,941,-122.419183096362,37.78309982445921,9,3
687,SUSPICIOUS OCC,Wednesday,SUSPICIOUS OCCURRENCE,PARK,non_processed,625,-122.44449736293899,37.780272316121504,10,17
688,NON-CRIMINAL,Saturday,"AIDED CASE, MENTAL DISTURBED",CENTRAL,processed,660,-122.411281399822,37.7898978570344,10,13
689,ROBBERY,Tuesday,ROBBERY ON THE STREET WITH A GUN,SOUTHERN,non_processed,1,-122.418299619441,37.7715376281605,9,18
690,MISSING PERSON,Friday,MISSING ADULT,TARAVAL,processed,495,-122.461163238283,37.7191248815986,8,31
691,RUNAWAY,Wednesday,RUNAWAY,TARAVAL,processed,870,-122.461163238283,37.7191248815986,8,22
692,FRAUD,Saturday,"TRICK AND DEVICE, PETTY THEFT",NORTHERN,non_processed,240,-122.41827417166,37.7870372043685,9,29
693,WARRANTS,Friday,ENROUTE TO U.S. MARSHALL,INGLESIDE,processed,841,-122.40695014046499,37.7123826656436,9,14
694,LARCENY/THEFT,Monday,GRAND THEFT PURSESNATCH,INGLESIDE,non_processed,1040,-122.404803189965,37.7116109454873,9,3
695,VEHICLE THEFT,Monday,STOLEN AUTOMOBILE,MISSION,non_processed,1380,-122.42291880581399,37.7511499366851,8,6
696,NON-CRIMINAL,Monday,"AIDED CASE, MENTAL DISTURBED",PARK,processed,560,-122.432176146546,37.7659822789999,8,6
697,LARCENY/THEFT,Tuesday,GRAND THEFT BICYCLE,SOUTHERN,non_processed,1260,-122.40409466245,37.787256092799296,7,10
698,NON-CRIMINAL,Thursday,FOUND PROPERTY,MISSION,non_processed,830,-122.421747650463,37.7627436601147,7,12
699,ROBBERY,Thursday,"ROBBERY, BODILY FORCE",SOUTHERN,non_processed,710,-122.40340479147899,37.775420706711,10,18
700,LOITERING,Thursday,BEGGING,NORTHERN,processed,1217,-122.422840794653,37.7845455355216,7,12
701,SUSPICIOUS OCC,Sunday,SUSPICIOUS OCCURRENCE,MISSION,non_processed,179,-122.41844919178001,37.7530267515876,9,16
702,OTHER OFFENSES,Friday,VIOLATION OF RESTRAINING ORDER,INGLESIDE,non_processed,1080,-122.456509768403,37.7096164546027,10,12
703,DRUG/NARCOTIC,Wednesday,POSSESSION OF MARIJUANA FOR SALES,TARAVAL,processed,1039,-122.456050465866,37.7131938450626,8,8
704,LARCENY/THEFT,Wednesday,GRAND THEFT FROM A BUILDING,CENTRAL,non_processed,1040,-122.405841476462,37.787719098517705,8,22
705,OTHER OFFENSES,Tuesday,POSSESSION OF BURGLARY TOOLS,NORTHERN,processed,830,-122.43627532477801,37.800812664568205,8,7
706,BURGLARY,Thursday,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",SOUTHERN,non_processed,1050,-122.399899436982,37.7846480308387,8,30
707,ROBBERY,Friday,ROBBERY ON THE STREET WITH A GUN,BAYVIEW,non_processed,1343,-122.391412414314,37.760298842248204,10,5
708,LARCENY/THEFT,Thursday,PETTY THEFT FROM A BUILDING,BAYVIEW,non_processed,1170,-122.391849084977,37.7345805334314,9,20
709,OTHER OFFENSES,Friday,LOST/STOLEN LICENSE PLATE,BAYVIEW,non_processed,780,-122.402316839735,37.7512533511923,7,6
710,ASSAULT,Thursday,BATTERY,CENTRAL,non_processed,505,-122.416221156508,37.7892672343725,10,4
711,LARCENY/THEFT,Saturday,GRAND THEFT PURSESNATCH,SOUTHERN,non_processed,690,-122.404270179486,37.784478853874504,9,29
712,OTHER OFFENSES,Tuesday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",INGLESIDE,processed,392,-122.432404559912,37.7127619257148,10,16
713,VANDALISM,Wednesday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",NORTHERN,non_processed,590,-122.420691680792,37.790577071053704,9,26
714,OTHER OFFENSES,Sunday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",INGLESIDE,processed,978,-122.408640885133,37.7098457177238,7,8
715,OTHER OFFENSES,Tuesday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",TENDERLOIN,processed,110,-122.417903977564,37.785167087551706,8,28
716,ASSAULT,Wednesday,AGGRAVATED ASSAULT WITH BODILY FORCE,BAYVIEW,non_processed,1290,-122.386100703211,37.738002011720795,7,11
717,OTHER OFFENSES,Thursday,RESISTING ARREST,TARAVAL,processed,848,-122.460163447995,37.7242088328715,9,13
718,LARCENY/THEFT,Wednesday,PETTY THEFT SHOPLIFTING,TENDERLOIN,processed,925,-122.405895369887,37.786734218498296,10,3
719,ASSAULT,Saturday,BATTERY,INGLESIDE,processed,40,-122.41199845273898,37.7116685884705,8,27
720,ASSAULT,Monday,THREATS AGAINST LIFE,SOUTHERN,non_processed,840,-122.40283552814199,37.786800902838394,6,27
721,ASSAULT,Sunday,BATTERY,CENTRAL,non_processed,1075,-122.407193783677,37.791011200664,7,17
722,ASSAULT,Tuesday,THREATS AGAINST LIFE,TARAVAL,non_processed,555,-122.47793687146002,37.759782300453296,6,21
723,NON-CRIMINAL,Monday,LOST PROPERTY,CENTRAL,non_processed,540,-122.40979166229299,37.7985083480435,7,18
724,LARCENY/THEFT,Monday,GRAND THEFT FROM LOCKED AUTO,RICHMOND,non_processed,490,-120.5,90.0,7,25
725,VEHICLE THEFT,Monday,"VEHICLE, RECOVERED, AUTO",TARAVAL,non_processed,1380,-122.46091237580299,37.7316041502134,8,15
726,NON-CRIMINAL,Wednesday,SHELTER,BAYVIEW,non_processed,1187,-122.37890273653099,37.736190767443105,7,6
727,VEHICLE THEFT,Saturday,STOLEN TRUCK,TARAVAL,non_processed,900,-122.481051497493,37.7418600918147,8,27
728,LARCENY/THEFT,Friday,PETTY THEFT OF PROPERTY,CENTRAL,non_processed,690,-122.396421943768,37.7941447423704,8,5
729,NON-CRIMINAL,Saturday,LOST PROPERTY,SOUTHERN,non_processed,900,-122.40340479147899,37.775420706711,9,3
730,SUSPICIOUS OCC,Tuesday,SUSPICIOUS OCCURRENCE,TARAVAL,non_processed,1,-122.485468648881,37.7435384267991,7,31
731,OTHER OFFENSES,Wednesday,TRAFFIC VIOLATION ARREST,MISSION,processed,270,-122.417028392106,37.7603656931573,10,24
732,DRUG/NARCOTIC,Wednesday,SALE OF MARIJUANA,SOUTHERN,processed,1248,-122.411979487494,37.7809039696758,10,17
733,LARCENY/THEFT,Wednesday,GRAND THEFT FROM LOCKED AUTO,MISSION,non_processed,780,-122.40753833231899,37.7657827544276,8,15
734,VANDALISM,Thursday,"MALICIOUS MISCHIEF, BREAKING WINDOWS",BAYVIEW,non_processed,870,-122.382452903681,37.7349303029099,8,30
735,BURGLARY,Thursday,"BURGLARY OF STORE, UNLAWFUL ENTRY",INGLESIDE,non_processed,1125,-122.43467133781701,37.7249572971123,8,2
736,ASSAULT,Wednesday,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,INGLESIDE,processed,1116,-122.417107986993,37.7122561827524,9,19
737,LARCENY/THEFT,Wednesday,GRAND THEFT FROM LOCKED AUTO,TENDERLOIN,non_processed,1,-122.416583456133,37.778659154150795,8,22
738,OTHER OFFENSES,Thursday,TRAFFIC VIOLATION,INGLESIDE,processed,467,-122.452330120871,37.7230787059359,8,2
739,LARCENY/THEFT,Sunday,GRAND THEFT FROM A BUILDING,TENDERLOIN,non_processed,1200,-122.407845374111,37.7850943210103,8,5
740,NON-CRIMINAL,Wednesday,"AIDED CASE, MENTAL DISTURBED",BAYVIEW,non_processed,1020,-122.38650210261999,37.737007707134,7,18
741,LARCENY/THEFT,Sunday,PETTY THEFT FROM LOCKED AUTO,NORTHERN,non_processed,1125,-122.439504944797,37.8004024933613,7,8
742,LARCENY/THEFT,Saturday,GRAND THEFT PICKPOCKET,SOUTHERN,non_processed,705,-122.405832474482,37.7857446545609,10,6
743,OTHER OFFENSES,Wednesday,FAILURE TO REGISTER AS SEX OFFENDER,SOUTHERN,processed,535,-122.40650848700301,37.7803313209065,7,18
744,NON-CRIMINAL,Tuesday,LOST PROPERTY,SOUTHERN,non_processed,720,-122.40340479147899,37.775420706711,10,16
745,OTHER OFFENSES,Wednesday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",MISSION,processed,1271,-122.419671780296,37.7650501214668,8,22
746,BURGLARY,Monday,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",BAYVIEW,non_processed,450,-122.415802533687,37.7226296501601,8,27
747,LARCENY/THEFT,Thursday,PETTY THEFT FROM LOCKED AUTO,BAYVIEW,non_processed,1200,-122.394223519074,37.7639373542481,8,23
748,NON-CRIMINAL,Monday,LOST PROPERTY,NORTHERN,non_processed,60,-122.42816936683901,37.7844321826355,8,13
749,VEHICLE THEFT,Sunday,STOLEN AUTOMOBILE,TARAVAL,non_processed,840,-122.48449849157801,37.760414642153,7,29
750,DRUG/NARCOTIC,Monday,POSSESSION OF BASE/ROCK COCAINE,NORTHERN,processed,1187,-122.419016755254,37.7865167265223,9,17
751,BURGLARY,Friday,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",SOUTHERN,non_processed,660,-122.391588816975,37.7796910137658,8,10
752,NON-CRIMINAL,Saturday,"AIDED CASE, MENTAL DISTURBED",TENDERLOIN,non_processed,394,-122.410157073911,37.784297384331204,7,28
753,OTHER OFFENSES,Saturday,MISCELLANEOUS INVESTIGATION,SOUTHERN,non_processed,1025,-122.40340479147899,37.775420706711,9,15
754,OTHER OFFENSES,Monday,TRAFFIC VIOLATION ARREST,MISSION,processed,445,-122.406948026845,37.7593672733869,8,20
755,BURGLARY,Wednesday,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",INGLESIDE,non_processed,780,-122.41714480239901,37.7121502932531,10,3
756,LARCENY/THEFT,Sunday,GRAND THEFT FROM LOCKED AUTO,NORTHERN,non_processed,1080,-122.42053994545,37.7814982546318,8,12
757,VANDALISM,Friday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",SOUTHERN,non_processed,1410,-122.40845378210501,37.7752940868524,8,31
758,DRUG/NARCOTIC,Saturday,POSSESSION OF NARCOTICS PARAPHERNALIA,TENDERLOIN,processed,1060,-122.412386379783,37.7825386747303,10,6
759,STOLEN PROPERTY,Friday,RECEIVING STOLEN PROPERTY,MISSION,processed,1401,-122.419671780296,37.7650501214668,9,21
760,NON-CRIMINAL,Tuesday,FIRE REPORT,RICHMOND,non_processed,1112,-122.48339019174601,37.7753972429248,9,4
761,NON-CRIMINAL,Thursday,"AIDED CASE, MENTAL DISTURBED",MISSION,processed,1211,-122.431028702713,37.7658672394532,9,6
762,PROSTITUTION,Wednesday,SOLICITS TO VISIT HOUSE OF PROSTITUTION,MISSION,processed,820,-122.41623039254299,37.7636337702985,8,15
763,VANDALISM,Tuesday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",MISSION,non_processed,1290,-122.43037048433001,37.765983601787795,8,21
764,OTHER OFFENSES,Monday,TRAFFIC VIOLATION,SOUTHERN,processed,1172,-122.41093920555201,37.779212259008496,9,17
765,WARRANTS,Tuesday,ENROUTE TO DEPARTMENT OF CORRECTIONS,SOUTHERN,processed,568,-122.405832474482,37.7857446545609,10,2
766,VANDALISM,Wednesday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",PARK,non_processed,560,-122.43908866950899,37.7634139962541,7,11
767,WARRANTS,Wednesday,ENROUTE TO OUTSIDE JURISDICTION,CENTRAL,processed,1315,-122.417368206741,37.790509415159505,7,18
768,ASSAULT,Friday,THREATS AGAINST LIFE,TARAVAL,non_processed,660,-122.466758005159,37.729184579603796,9,21
769,NON-CRIMINAL,Wednesday,LOST PROPERTY,MISSION,non_processed,1260,-122.41905886810301,37.7594227506297,9,19
770,OTHER OFFENSES,Friday,MISCELLANEOUS INVESTIGATION,PARK,non_processed,1080,-122.435617128052,37.7810099521381,8,17
771,OTHER OFFENSES,Monday,MISCELLANEOUS INVESTIGATION,SOUTHERN,non_processed,985,-122.407633520742,37.7841893501425,10,22
772,FORGERY/COUNTERFEITING,Sunday,"CHECKS, FORGERY (FELONY)",PARK,non_processed,1,-122.442549683962,37.754338018176604,9,9
773,VANDALISM,Saturday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",INGLESIDE,non_processed,720,-122.42237171742501,37.74476401162921,10,6
774,ASSAULT,Sunday,BATTERY,TENDERLOIN,non_processed,138,-122.410791677645,37.7836952269749,7,22
775,LARCENY/THEFT,Sunday,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,processed,97,-122.41437970077601,37.7760436733983,10,21
776,LARCENY/THEFT,Sunday,GRAND THEFT FROM PERSON,SOUTHERN,non_processed,720,-122.40340479147899,37.775420706711,9,2
777,NON-CRIMINAL,Tuesday,LOST PROPERTY,TENDERLOIN,non_processed,1170,-122.407845374111,37.7850943210103,8,14
778,DRUG/NARCOTIC,Wednesday,POSSESSION OF HEROIN FOR SALES,TENDERLOIN,processed,1050,-122.412386379783,37.7825386747303,8,22
779,LARCENY/THEFT,Friday,PETTY THEFT FROM LOCKED AUTO,RICHMOND,non_processed,1410,-122.44819803856701,37.789885990866104,9,7
780,PROSTITUTION,Tuesday,SOLICITS FOR ACT OF PROSTITUTION,MISSION,processed,930,-122.41484513920601,37.7605000725995,10,2
781,SUSPICIOUS OCC,Friday,SUSPICIOUS OCCURRENCE,TARAVAL,non_processed,1220,-122.484627229718,37.763229895695204,9,14
782,LARCENY/THEFT,Monday,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,processed,108,-122.402962356485,37.778149130355295,10,22
783,TRESPASS,Saturday,TRESPASSING,CENTRAL,processed,1374,-122.407822401083,37.7976687725776,7,21
784,LARCENY/THEFT,Tuesday,GRAND THEFT FROM LOCKED AUTO,NORTHERN,non_processed,1200,-122.42815114016199,37.7857828233879,10,2
785,NON-CRIMINAL,Sunday,"AIDED CASE, MENTAL DISTURBED",TARAVAL,processed,1090,-122.508062730307,37.7612452855339,8,26
786,VEHICLE THEFT,Thursday,STOLEN AND RECOVERED VEHICLE,SOUTHERN,non_processed,896,-122.417911007703,37.7713149115691,7,19
787,MISSING PERSON,Saturday,MISSING JUVENILE,INGLESIDE,processed,1200,-122.421089139711,37.737457086205794,7,28
788,BURGLARY,Saturday,"BURGLARY, FORCIBLE ENTRY",BAYVIEW,processed,960,-122.393738712958,37.7233661997729,7,28
789,MISSING PERSON,Sunday,MISSING JUVENILE,TARAVAL,processed,30,-122.461163238283,37.7191248815986,9,23
790,OTHER OFFENSES,Tuesday,INTERFERRING WITH A POLICE OFFICER,CENTRAL,processed,1050,-122.417295322526,37.7862578545865,10,16
791,LARCENY/THEFT,Tuesday,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,non_processed,1170,-122.40340479147899,37.775420706711,7,10
792,OTHER OFFENSES,Sunday,TRAFFIC VIOLATION,CENTRAL,processed,90,-122.40547592923099,37.7980180687744,8,12
793,ASSAULT,Monday,AGGRAVATED ASSAULT WITH BODILY FORCE,BAYVIEW,non_processed,1322,-122.397323380718,37.7191980396386,7,23
794,VANDALISM,Monday,MALICIOUS MISCHIEF,PARK,non_processed,1065,-122.43948077224199,37.7833088100846,8,6
795,BURGLARY,Sunday,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",INGLESIDE,processed,1,-122.446321638808,37.7379604480024,8,19
796,OTHER OFFENSES,Tuesday,MISCELLANEOUS STATE MISDEMEANOR,INGLESIDE,non_processed,1080,-122.447095289615,37.7111225502685,10,23
797,VANDALISM,Saturday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",INGLESIDE,non_processed,1020,-122.45213436804701,37.7117724819654,7,7
798,"SEX OFFENSES, FORCIBLE",Sunday,SEXUAL BATTERY,TENDERLOIN,processed,945,-122.410768766343,37.7832145190013,7,29
799,OTHER OFFENSES,Monday,FALSE EVIDENCE OF VEHICLE REGISTRATION,RICHMOND,processed,1393,-122.44958034096202,37.7820535935304,10,15
800,LARCENY/THEFT,Friday,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,non_processed,1110,-122.407702149718,37.7706967930865,7,20
801,MISSING PERSON,Monday,MISSING JUVENILE,CENTRAL,processed,780,-122.41053462136401,37.800615621368706,9,17
802,LARCENY/THEFT,Monday,PETTY THEFT FROM LOCKED AUTO,SOUTHERN,non_processed,1080,-122.41360156411999,37.7778879642123,8,13
803,SUSPICIOUS OCC,Friday,SUSPICIOUS PERSON,TARAVAL,non_processed,1398,-122.49483610711201,37.747817358041296,7,13
804,NON-CRIMINAL,Saturday,LOST PROPERTY,SOUTHERN,non_processed,600,-122.40340479147899,37.775420706711,10,15
805,RUNAWAY,Saturday,RUNAWAY,BAYVIEW,non_processed,780,-122.392643753605,37.736784880051296,10,1
806,ASSAULT,Sunday,INFLICT INJURY ON COHABITEE,TENDERLOIN,non_processed,475,-122.41604728066002,37.7839824654149,7,15
807,LARCENY/THEFT,Thursday,PETTY THEFT BICYCLE,RICHMOND,non_processed,60,-122.46620466789301,37.7725405391593,10,18
808,OTHER OFFENSES,Sunday,VIOLATION OF RESTRAINING ORDER,BAYVIEW,non_processed,950,-122.372571530798,37.73230293783379,7,29
809,LARCENY/THEFT,Tuesday,GRAND THEFT FROM LOCKED AUTO,CENTRAL,non_processed,1350,-122.41214331058599,37.8067579023106,10,16
810,NON-CRIMINAL,Thursday,"AIDED CASE, MENTAL DISTURBED",NORTHERN,non_processed,990,-122.42857151404499,37.775266521436,10,11
811,LARCENY/THEFT,Thursday,GRAND THEFT OF PROPERTY,INGLESIDE,non_processed,552,-122.422289697803,37.7366533570864,7,19
812,DRUG/NARCOTIC,Wednesday,POSSESSION OF CONTROLLED SUBSTANCE,TENDERLOIN,processed,643,-122.414242955907,37.783724025447796,9,5
813,BURGLARY,Tuesday,"BURGLARY, HOT PROWL, FORCIBLE ENTRY",PARK,processed,110,-122.44498349029399,37.768328552350795,9,11
814,ROBBERY,Friday,"ROBBERY ON THE STREET, STRONGARM",TENDERLOIN,non_processed,1260,-122.412930522059,37.7838344374141,9,21
815,FORGERY/COUNTERFEITING,Monday,"FORGERY, DRIVERS LICENSE OR ID-CARD",SOUTHERN,non_processed,600,-122.41026305135401,37.777361702655504,8,20
816,VEHICLE THEFT,Tuesday,STOLEN AUTOMOBILE,BAYVIEW,non_processed,1410,-122.387181635995,37.7209669615499,8,21
817,KIDNAPPING,Friday,FALSE IMPRISONMENT,INGLESIDE,non_processed,1080,-122.43239831371099,37.7378218134824,9,7
818,LARCENY/THEFT,Saturday,GRAND THEFT FROM LOCKED AUTO,NORTHERN,non_processed,705,-122.419183096362,37.78309982445921,8,11
819,DRUNKENNESS,Monday,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,CENTRAL,processed,1421,-122.41827069671899,37.8078519838014,10,8
820,LARCENY/THEFT,Monday,GRAND THEFT FROM LOCKED AUTO,TARAVAL,non_processed,1080,-122.507938390993,37.7575113493256,10,8
821,LARCENY/THEFT,Monday,PETTY THEFT OF PROPERTY,BAYVIEW,non_processed,540,-122.393119692095,37.7347515640427,9,17
822,ASSAULT,Saturday,BATTERY,INGLESIDE,non_processed,740,-122.43088779541701,37.711068215706796,9,22
823,VANDALISM,Wednesday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",BAYVIEW,non_processed,1320,-122.392396004657,37.7386044256525,7,11
824,RECOVERED VEHICLE,Wednesday,RECOVERED VEHICLE - STOLEN OUTSIDE SF,INGLESIDE,non_processed,40,-122.434412997496,37.7202031253498,10,3
825,FORGERY/COUNTERFEITING,Saturday,"CHECKS, FORGERY (FELONY)",BAYVIEW,non_processed,480,-122.390136349844,37.7368036226976,7,21
826,NON-CRIMINAL,Monday,"DEATH REPORT, CAUSE UNKNOWN",NORTHERN,non_processed,720,-122.432743822617,37.7838424505847,7,23
827,DRUG/NARCOTIC,Tuesday,POSSESSION OF NARCOTICS PARAPHERNALIA,NORTHERN,processed,1435,-122.419016755254,37.7865167265223,7,24
828,FORGERY/COUNTERFEITING,Friday,"FORGERY, DRIVERS LICENSE OR ID-CARD",MISSION,non_processed,720,-122.408833632451,37.748960629776,8,3
829,OTHER OFFENSES,Thursday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",NORTHERN,processed,819,-122.424109315499,37.782475642277205,9,20
830,OTHER OFFENSES,Saturday,PROBATION VIOLATION,TENDERLOIN,processed,945,-122.410928353347,37.7836778741124,9,15
831,WEAPON LAWS,Tuesday,DISCHARGE FIREARM AT AN INHABITED DWELLING,MISSION,non_processed,1359,-122.40833337913,37.7536331088001,7,31
832,TRESPASS,Tuesday,TRESPASSING,CENTRAL,processed,1096,-122.405490836338,37.7939790012204,10,9
833,FORGERY/COUNTERFEITING,Friday,"FORGERY, NOTES",BAYVIEW,non_processed,720,-122.399356321493,37.7665281711188,4,20
834,BURGLARY,Monday,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",NORTHERN,non_processed,1435,-122.43270426699301,37.804082782912396,7,23
835,OTHER OFFENSES,Thursday,HARASSING PHONE CALLS,BAYVIEW,non_processed,540,-122.395513264888,37.7536178531447,3,1
836,FORGERY/COUNTERFEITING,Thursday,"CHECKS, MAKE OR PASS FICTITIOUS",CENTRAL,non_processed,1,-122.41072162587,37.787096649566294,7,5
837,PROSTITUTION,Monday,SOLICITS TO VISIT HOUSE OF PROSTITUTION,MISSION,processed,410,-122.40546657618,37.7646048756593,9,17
838,LARCENY/THEFT,Thursday,GRAND THEFT FROM LOCKED AUTO,TARAVAL,non_processed,1412,-122.467514101042,37.7658764339105,8,9
839,ROBBERY,Tuesday,"ROBBERY ON THE STREET, STRONGARM",NORTHERN,non_processed,600,-122.41988493945699,37.77825108324121,8,28
840,DRUG/NARCOTIC,Wednesday,POSSESSION OF COCAINE FOR SALES,INGLESIDE,processed,910,-122.43581443392999,37.7177438152519,10,3
841,SUSPICIOUS OCC,Wednesday,SUSPICIOUS PERSON,BAYVIEW,processed,1209,-122.390924446041,37.724544596177005,9,26
842,LARCENY/THEFT,Monday,GRAND THEFT FROM PERSON,SOUTHERN,non_processed,1110,-122.403014839521,37.7732790114242,9,10
843,NON-CRIMINAL,Tuesday,LOST PROPERTY,RICHMOND,non_processed,1080,-122.46620466789301,37.7725405391593,7,17
